,year,dirpop_vote_vdem,v2exfemhos,v2exfemhog,v2xpas_democracy,v2xpas_democracy_government,v2xpas_democracy_opposition,goveffective_vdem_wbgi,corruption_cpi,wom_hog_vdem,wom_hos_vdem,held_national_election,regime_row_owid,regime_amb_row_owid,regime_redux_row_owid,wom_hoe_vdem,v2exfemhoe,wom_hoe_ever,wom_hoe_ever_dem,num_years_in_electdem_consecutive,num_years_in_libdem_consecutive,num_years_in_electdem,num_years_in_libdem,percentage_of_no_education,percentage_of_primary_education,percentage_of_complete_primary_education_attained,percentage_of_secondary_education,percentage_of_complete_secondary_education_attained,percentage_of_tertiary_education,percentage_of_complete_tertiary_education_attained,average_years_of_education,average_years_of_primary_education,average_years_of_secondary_education,average_years_of_tertiary_education,primary_enrollment_rates,secondary_enrollment_rates,tertiary_enrollment_rates,percentage_of_no_education_z,percentage_of_primary_education_z,edu_ineq_index
year,1.0,0.0845527982592385,0.007837930035912124,0.09352618344948055,0.0024750968665246593,-0.004847711782766803,-0.00728165466266693,0.1529622337229751,0.019817247180864233,0.06629725505776375,0.01197146912736921,0.006098655840796917,0.08667386330503227,0.09544933663933554,0.06576492235640663,0.047047127479267654,0.04157834293019162,0.0010186754891630151,-0.05830753862309861,0.11601972864570317,0.0029657953453869523,0.12855414899866102,-0.01792768933379876,-0.015682547735997282,0.015682547735997362,-0.015682547735997344,0.01568254773599729,-0.015682547735997487,-0.015682547736052325,-0.015682547735993466,0.015682547735996605,0.01568254773599101,-0.01568254773592242,-0.015682547735999513,-0.003987532871518841,-0.001097530483780526,0.0012367060375990144,-0.17822440023775835,-0.07803424224828528,0.18403683451668407
dirpop_vote_vdem,0.0845527982592385,1.0,0.06631328047749523,0.0031125118189110406,0.06290105752510333,-0.04420938971561063,-0.06183161278528661,0.14650586667224133,0.08975510085630116,0.07288676704293082,0.0697215021283955,0.05482238672066593,0.2284117234383817,0.20704961027541807,0.13395597201016268,0.07188187906732768,0.06892718035140652,0.044771323752787064,0.004800959050417666,0.25808761019190646,0.23356576073997867,0.3057651444769751,0.18056260679645406,-0.07448357172479424,0.07448357172479408,-0.07448357172479415,0.07448357172479389,-0.07448357172479428,-0.07448357172483291,-0.07448357172479096,0.07448357172479654,0.07448357172479275,-0.07448357172426825,-0.0744835717247941,0.0620087128461526,0.06262695074810128,0.06314338627591976,-0.06613968403677396,-0.05146498743047649,0.0844599473845504
v2exfemhos,0.007837930035912124,0.06631328047749523,1.0,0.0045815912588556065,0.1318263697464242,-0.12734440074828007,-0.11781415150626673,0.20154529141641753,0.11970102421215828,0.2703171462209507,0.9918907924420662,0.06739038844081219,0.2208287801726117,0.22202218029272192,0.10529974100099103,0.34308228608698027,0.35513478994206615,0.048272394338306455,0.039585235178629885,0.3183070706807877,0.25327455454288184,0.3391837093806706,0.20475721407972444,-0.11622014650149651,0.1162201465014968,-0.11622014650149606,0.11622014650149581,-0.11622014650149749,-0.11622014650153896,-0.11622014650149452,0.11622014650149873,0.11622014650149642,-0.11622014650176714,-0.11622014650149713,0.1006795544919827,0.10400203257629964,0.1047397269732198,-0.08503389481602784,-0.07593017534809089,0.11559929318496812
v2exfemhog,0.09352618344948055,0.0031125118189110406,0.0045815912588556065,1.0,-0.25281700852160793,0.22457672889075822,0.24929536492792878,-0.08921105694113611,-0.23510880683763213,0.3859146413286767,0.0048054995507574,0.030762726467392938,-0.01161077395615533,-0.015464713784570748,-0.0023982403145205475,0.4024739371429382,0.4004627084832818,-0.1309793800263859,0.009391027229257757,-0.004460551260590341,-0.013586343130832415,0.009721601683155244,-0.009911482764779284,0.2682533016889492,-0.2682533016889497,0.2682533016889485,-0.2682533016889489,0.2682533016889488,0.2682533016887655,0.26825330168895956,-0.26825330168893247,-0.2682533016889493,0.26825330169096956,0.2682533016889533,-0.2655343548371089,-0.27447165066647006,-0.269713391918734,-0.01862225802950484,-0.016669978988681493,0.025345765984042087
v2xpas_democracy,0.0024750968665246593,0.06290105752510333,0.1318263697464242,-0.25281700852160793,1.0,-0.9355234812524926,-0.9097511663893392,0.40155645804304535,0.7210285961481798,0.07672573112874473,0.132634341513867,-0.00841855262992722,0.2834616331463425,0.2744211799880453,0.1606447596229024,0.08857858361059068,0.08741402873553364,0.3269323000898541,-0.16366186659469337,0.315983815527626,0.23550354472065124,0.34722374864355415,0.2153876674032551,-0.901529460066799,0.9015294600668051,-0.9015294600667983,0.901529460066803,-0.9015294600667999,-0.9015294600670541,-0.9015294600667895,0.9015294600668105,0.9015294600667993,-0.9015294600674314,-0.9015294600668027,0.8624256995473285,0.8598774851393869,0.8619176673951255,-0.01770467849868825,-0.01005792091994847,0.01993821892363666
v2xpas_democracy_government,-0.004847711782766803,-0.04420938971561063,-0.12734440074828007,0.22457672889075822,-0.9355234812524926,1.0,0.8938178825606525,-0.3887685603413506,-0.6805035982715909,-0.08027874812333592,-0.1279544179051382,0.022555620294988397,-0.28051418454984256,-0.2718624130981996,-0.153217616789808,-0.09309876060672605,-0.09220687989258525,-0.31260562016775173,0.1672032346646503,-0.3188321748306764,-0.2440248378830182,-0.34965303972831185,-0.21627930897755562,0.8430313904400724,-0.8430313904400709,0.8430313904400758,-0.8430313904400698,0.8430313904400765,0.8430313904403297,0.843031390440053,-0.8430313904400805,-0.8430313904400688,0.8430313904386778,0.8430313904400702,-0.8094222346183961,-0.7849516109047832,-0.7875012911753363,0.016687864149033185,0.015116927586522135,-0.02284119332206645
v2xpas_democracy_opposition,-0.00728165466266693,-0.06183161278528661,-0.11781415150626673,0.24929536492792878,-0.9097511663893392,0.8938178825606525,1.0,-0.3627940144430613,-0.6864953535128804,-0.05031299095480428,-0.11843735795603343,0.024573958894978206,-0.22793551694474656,-0.22280527466388778,-0.12363130569027943,-0.05922185457364957,-0.05813908909106388,-0.3164279676531498,0.17247522134146254,-0.28427507579827244,-0.21975710213342414,-0.3126243781970887,-0.2015559491429535,0.8642522503552528,-0.8642522503552575,0.8642522503552579,-0.8642522503552563,0.8642522503552555,0.8642522503552937,0.8642522503552509,-0.8642522503552597,-0.8642522503552559,0.8642522503549438,0.8642522503552539,-0.8512194870563531,-0.833211826295036,-0.8361213188272134,-0.0005339381441245162,0.011568801710810716,-0.007924889246406715
goveffective_vdem_wbgi,0.1529622337229751,0.14650586667224133,0.20154529141641753,-0.08921105694113611,0.40155645804304535,-0.3887685603413506,-0.3627940144430613,1.0,0.6365847487351158,0.07243453401041437,0.20545392538944113,0.0506045998364094,0.46537112581570655,0.451939370826007,0.2750823886704226,0.07230492805206701,0.06776969151763602,0.1733127306070524,-0.054694232927450084,0.4650773629609675,0.32890069746911416,0.5421196801381527,0.2918478757121506,-0.4067296380385275,0.4067296380385283,-0.4067296380385306,0.40672963803852674,-0.4067296380385287,-0.4067296380385602,-0.40672963803852596,0.4067296380385281,0.40672963803852613,-0.4067296380393967,-0.40672963803852835,0.31715659212379066,0.3155148507511035,0.3159284113078862,-0.13904162298049227,-0.15306377054042122,0.20978083489132507
corruption_cpi,0.019817247180864233,0.08975510085630116,0.11970102421215828,-0.23510880683763213,0.7210285961481798,-0.6805035982715909,-0.6864953535128804,0.6365847487351158,1.0,0.07014855104913283,0.12218145474087294,0.030801116788121686,0.28059795775090274,0.27339571382350336,0.17185032285994328,0.07592605469330158,0.07245211903796377,0.3051059552372814,-0.1376640967112794,0.29139361229912264,0.217248762442762,0.34259394210050353,0.20131735537980197,-0.7895833872778723,0.7895833872778742,-0.7895833872778751,0.7895833872778777,-0.7895833872778737,-0.7895833872779217,-0.7895833872778699,0.7895833872778738,0.7895833872778752,-0.7895833872788898,-0.7895833872778732,0.6846964633162401,0.6856434881296369,0.6856211499274063,0.011009470168796725,-0.00035798402218714865,-0.007649559735052091
wom_hog_vdem,0.06629725505776375,0.07288676704293082,0.2703171462209507,0.3859146413286767,0.07672573112874473,-0.08027874812333592,-0.05031299095480428,0.07243453401041437,0.07014855104913283,1.0,0.3144556917208478,0.05645772682647077,0.12443179984780768,0.11420714237272711,0.08303998256380464,0.902783952607637,0.8487641944400327,0.033285090435137395,0.03155466845368732,0.12347404995202017,0.08208419532368058,0.15032414516096385,0.061807850139419536,-0.09313538867253791,0.09313538867253914,-0.09313538867253804,0.09313538867253855,-0.09313538867253884,-0.09313538867253932,-0.09313538867253755,0.09313538867253837,0.09313538867253592,-0.09313538867168113,-0.09313538867253775,0.09029555367141083,0.08894854759686288,0.09011981114349296,-0.015344766628547956,-0.046053457888833166,0.04409425873603091
wom_hos_vdem,0.01197146912736921,0.0697215021283955,0.9918907924420662,0.0048054995507574,0.132634341513867,-0.1279544179051382,-0.11843735795603343,0.20545392538944113,0.12218145474087294,0.3144556917208478,1.0,0.06973621159264694,0.22637944585685263,0.22728528491108194,0.10942130797914774,0.34642279290337985,0.34183171452079436,0.04796113044325333,0.04038337514483835,0.3217648361641773,0.25585865188355983,0.3433300251939951,0.2070053947338526,-0.11695160612830612,0.11695160612830718,-0.11695160612830696,0.11695160612830674,-0.11695160612830764,-0.11695160612835045,-0.11695160612830378,0.11695160612830857,0.1169516061283078,-0.11695160612851867,-0.11695160612830728,0.10086291052367902,0.10418392137425128,0.10492878548127256,-0.0861506155142413,-0.08334026799765543,0.12172298026071256
held_national_election,0.006098655840796917,0.05482238672066593,0.06739038844081219,0.030762726467392938,-0.00841855262992722,0.022555620294988397,0.024573958894978206,0.0506045998364094,0.030801116788121686,0.05645772682647077,0.06973621159264694,1.0,0.1427547885716378,0.1388645184241494,0.09846256407497324,0.05813825778064417,0.05629549796810799,0.01550241103830717,0.03152430497372293,0.046837499262939626,0.031279880034448856,0.050695738682439706,0.02421787107646079,-0.014473176618137957,0.014473176618138003,-0.01447317661813794,0.014473176618137976,-0.014473176618138083,-0.014473176618150119,-0.01447317661813727,0.0144731766181388,0.014473176618137799,-0.01447317661826635,-0.014473176618138179,0.006751682135374428,0.008678754986325648,0.008328453999176233,-0.0722517034795131,-0.03456357798322087,0.07671134946982736
regime_row_owid,0.08667386330503227,0.2284117234383817,0.2208287801726117,-0.01161077395615533,0.2834616331463425,-0.28051418454984256,-0.22793551694474656,0.46537112581570655,0.28059795775090274,0.12443179984780768,0.22637944585685263,0.1427547885716378,1.0,0.9259754353585956,0.7959715767160572,0.11308081614803929,0.10714814256583359,0.10220624674414705,-0.01828000578327431,0.5129654063265783,0.19033604922683775,0.6315838586438418,0.37503184141448276,-0.24283016876006766,0.24283016876006797,-0.24283016876006672,0.24283016876006883,-0.24283016876006905,-0.2428301687601083,-0.24283016876006483,0.2428301687600675,0.24283016876006744,-0.24283016875993155,-0.2428301687600662,0.21337231749558044,0.2125768062140541,0.21291461425932862,-0.2096513601956782,-0.11941624898954606,0.23632592660643967
regime_amb_row_owid,0.09544933663933554,0.20704961027541807,0.22202218029272192,-0.015464713784570748,0.2744211799880453,-0.2718624130981996,-0.22280527466388778,0.451939370826007,0.27339571382350336,0.11420714237272711,0.22728528491108194,0.1388645184241494,0.9259754353585956,1.0,0.7924580638009737,0.09958787395001845,0.09403624545382482,0.09861336702841193,-0.023073362909297006,0.4729441278643758,0.10711218774152484,0.6309705940675977,0.19199153303867422,-0.23405977675973846,0.23405977675973796,-0.2340597767597382,0.23405977675973874,-0.2340597767597402,-0.2340597767597852,-0.2340597767597353,0.23405977675973874,0.23405977675973927,-0.23405977675970238,-0.23405977675973655,0.20514668542768436,0.20428718855791092,0.20461069992666886,-0.211944159023512,-0.11927853425407577,0.23787363969282746
regime_redux_row_owid,0.06576492235640663,0.13395597201016268,0.10529974100099103,-0.0023982403145205475,0.1606447596229024,-0.153217616789808,-0.12363130569027943,0.2750823886704226,0.17185032285994328,0.08303998256380464,0.10942130797914774,0.09846256407497324,0.7959715767160572,0.7924580638009737,1.0,0.057511300913568104,0.053062217964162474,0.049692086423737104,-0.05087707077555948,0.06584928143951616,-0.08508698106190346,0.3486091598176172,0.3602455961403885,-0.13262891916634395,0.13262891916634384,-0.13262891916634384,0.13262891916634284,-0.13262891916634417,-0.13262891916639769,-0.1326289191663412,0.13262891916634517,0.13262891916634545,-0.13262891916656094,-0.13262891916634395,0.11338893836636964,0.11080877070576418,0.11115026788459213,-0.09543559762324165,-0.0391780603548143,0.09667526237029245
wom_hoe_vdem,0.047047127479267654,0.07188187906732768,0.34308228608698027,0.4024739371429382,0.08857858361059068,-0.09309876060672605,-0.05922185457364957,0.07230492805206701,0.07592605469330158,0.902783952607637,0.34642279290337985,0.05813825778064417,0.11308081614803929,0.09958787395001845,0.057511300913568104,1.0,0.9877857973377233,0.03975828740248942,0.04343118756274983,0.13781457763789706,0.10365131834039691,0.1601620965023031,0.06095553327822608,-0.10611841235974609,0.10611841235974696,-0.10611841235974652,0.10611841235974687,-0.10611841235974702,-0.10611841235974857,-0.10611841235974577,0.10611841235974556,0.10611841235974326,-0.1061184123588834,-0.10611841235974523,0.10359744402658605,0.10230397965285606,0.10350265296123883,-0.012357763041812795,-0.025140692984284393,0.026930202545976254
v2exfemhoe,0.04157834293019162,0.06892718035140652,0.35513478994206615,0.4004627084832818,0.08741402873553364,-0.09220687989258525,-0.05813908909106388,0.06776969151763602,0.07245211903796377,0.8487641944400327,0.34183171452079436,0.05629549796810799,0.10714814256583359,0.09403624545382482,0.053062217964162474,0.9877857973377233,1.0,0.04014858782488676,0.041917727583399324,0.13499321718442508,0.10128073245283295,0.1566394780295196,0.05912010893746373,-0.10403823014467091,0.10403823014467158,-0.10403823014467078,0.10403823014467162,-0.10403823014467148,-0.10403823014467499,-0.1040382301446708,0.1040382301446703,0.10403823014466852,-0.10403823014381341,-0.10403823014467098,0.10199385358076533,0.10081133663356315,0.10196031184109705,-0.011531244310352547,-0.01680312825179859,0.02034884827206838
wom_hoe_ever,0.0010186754891630151,0.044771323752787064,0.048272394338306455,-0.1309793800263859,0.3269323000898541,-0.31260562016775173,-0.3164279676531498,0.1733127306070524,0.3051059552372814,0.033285090435137395,0.04796113044325333,0.01550241103830717,0.10220624674414705,0.09861336702841193,0.049692086423737104,0.03975828740248942,0.04014858782488676,1.0,-0.2668813192878245,0.09385176194861575,0.08644648940681537,0.11540841874286197,0.07252600922287636,-0.3670693734743459,0.36706937347434826,-0.367069373474347,0.3670693734743449,-0.36706937347434804,-0.36706937347435586,-0.36706937347434226,0.36706937347435836,0.3670693734743455,-0.36706937347481927,-0.36706937347434404,0.3493458804913953,0.3569121836839353,0.3547881310355559,-0.01397574075612831,-0.003427902062418816,0.012498744636715485
